ID,Handle,Command,Status
8819114213597,cropped-thin-strap-fitted-tank-cream,UPDATE,Draft
8819114344669,cropped-thin-strap-fitted-tank-heather-grey,UPDATE,Draft
8819114377437,tank-dress-maxi-heather-grey,UPDATE,Draft
8819114508509,long-sleeve-crewneck-dress-maxi-heather-grey,UPDATE,Draft
8819114672349,long-sleeve-turtleneck-dress-mini-heather-grey,UPDATE,Draft
8819114868957,long-sleeve-turtleneck-dress-maxi-heather-grey,UPDATE,Draft
8819115000029,classic-sweatpant-heather-brown,UPDATE,Draft
8819115163869,straight-leg-sweatpant-heather-brown,UPDATE,Draft
8819115819229,sloane,UPDATE,Draft
8819115917533,romee,UPDATE,Draft
8819115983069,chloe,UPDATE,Draft
8819116015837,simone,UPDATE,Draft
8819116179677,sadie,UPDATE,Draft
8819116277981,theodore-1,UPDATE,Draft
8819116605661,james-3,UPDATE,Draft
8819116736733,long-sleeve-crewneck-dress-mini-earth,UPDATE,Draft
8819116802269,short-sleeve-baby-tee-earth,UPDATE,Draft
8819116867805,lounge-pant-earth,UPDATE,Draft
8819116900573,tank-dress-mini-earth,UPDATE,Draft
8819116933341,long-sleeve-crewneck-dress-maxi-sand,UPDATE,Draft
8819116998877,tank-dress-mini-oat,UPDATE,Draft
8819117031645,tank-dress-mini-olive,UPDATE,Draft
8819117097181,tank-dress-mini-sand,UPDATE,Draft
8819117129949,tank-dress-maxi-chocolate,UPDATE,Draft
8819117162717,tank-dress-maxi-earth,UPDATE,Draft
8819117228253,tank-dress-maxi-olive,UPDATE,Draft
8819117293789,tank-dress-maxi-oat,UPDATE,Draft
8819117326557,tank-dress-maxi-sand,UPDATE,Draft
8819117523165,long-sleeve-crewneck-dress-mini-sand,UPDATE,Draft
8819117555933,long-sleeve-crewneck-dress-mini-oat,UPDATE,Draft
8819117687005,long-sleeve-crewneck-dress-maxi-oat,UPDATE,Draft
8819117752541,long-sleeve-turtleneck-dress-maxi-earth,UPDATE,Draft
8819117850845,long-sleeve-turtleneck-dress-maxi-sand,UPDATE,Draft
8819117949149,short-sleeve-baby-tee-oat,UPDATE,Draft
8819118047453,short-sleeve-baby-tee-sand,UPDATE,Draft
8819118080221,short-sleeve-baby-tee-olive,UPDATE,Draft
8819118112989,short-sleeve-boyfriend-t-shirt-chocolate,UPDATE,Draft
8819118145757,short-sleeve-boyfriend-t-shirt-olive,UPDATE,Draft
8819118211293,short-sleeve-boyfriend-t-shirt-oat,UPDATE,Draft
8819118244061,short-sleeve-boyfriend-t-shirt-sand,UPDATE,Draft
8819118276829,long-sleeve-boyfriend-t-shirt-oat,UPDATE,Draft
8819118309597,long-sleeve-boyfriend-t-shirt-chocolate,UPDATE,Draft
8819118375133,long-sleeve-boyfriend-t-shirt-olive,UPDATE,Draft
8819118473437,long-sleeve-boyfriend-t-shirt-sand,UPDATE,Draft
8819118506205,rib-tank-chocolate,UPDATE,Draft
8819118538973,rib-tank-oat,UPDATE,Draft
8819118604509,rib-tank-olive,UPDATE,Draft
8819118637277,rib-tank-sand,UPDATE,Draft
8819118735581,rib-tank-earth,UPDATE,Draft
8819118768349,cropped-scoop-neck-tank-earth,UPDATE,Draft
8819118801117,cropped-scoop-neck-tank-chocolate,UPDATE,Draft
8819118899421,cropped-scoop-neck-tank-oat,UPDATE,Draft
8819118932189,cropped-scoop-neck-tank-olive,UPDATE,Draft
8819118964957,cropped-scoop-neck-tank-sand,UPDATE,Draft
8819118997725,long-sleeve-cropped-t-shirt-earth,UPDATE,Draft
8819119063261,long-sleeve-cropped-t-shirt-olive,UPDATE,Draft
8819119161565,lounge-pant-olive,UPDATE,Draft
8819119194333,lounge-pant-oat,UPDATE,Draft
8819119227101,lounge-pant-sand,UPDATE,Draft
8819119292637,lounge-boxer-short-chocolate,UPDATE,Draft
8819119325405,lounge-boxer-short-oat,UPDATE,Draft
8819119358173,lounge-boxer-short-olive,UPDATE,Draft
8819119390941,lounge-boxer-short-sand,UPDATE,Draft
8819119489245,super-cropped-rib-tank-1,UPDATE,Draft
8819119522013,super-cropped-rib-tank-2,UPDATE,Draft
8819119554781,super-cropped-rib-tank-3,UPDATE,Draft
8819119718621,cropped-rib-tank-oat,UPDATE,Draft
8819119784157,cropped-rib-tank-sand,UPDATE,Draft
8819119882461,amelia-halter-one-piece,UPDATE,Archived
8819119915229,amelia-halter-one-piece-1,UPDATE,Archived
8819119980765,amelia-halter-one-piece-2,UPDATE,Archived
8819120013533,isla-string-bikini-top-1,UPDATE,Archived
8819120046301,isla-string-bikini-top,UPDATE,Archived
8819120079069,isla-string-bikini-top-2,UPDATE,Archived
8819120144605,isla-string-bikini-brief-2,UPDATE,Archived
8819120210141,isla-string-bikini-brief-1,UPDATE,Archived
8819120275677,isla-string-bikini-brief,UPDATE,Archived
8819126894813,loose-tank-3,UPDATE,Draft
8819126960349,halter-mini-dress,UPDATE,Draft
8819127058653,halter-mini-dress-1,UPDATE,Draft
8819127288029,high-neck-fitted-tank-5,UPDATE,Draft
8819127582941,tube-maxi-dress-2,UPDATE,Draft
8819128008925,square-neck-maxi-dress-3,UPDATE,Draft
8819128107229,square-neck-mini-dress,UPDATE,Draft
8819128565981,sawyer,UPDATE,Draft
8819128631517,stevie,UPDATE,Draft
8819128697053,sawyer-1,UPDATE,Draft
8819128729821,stevie-1,UPDATE,Draft
8819129024733,ls-baby-tee,UPDATE,Draft
8819129057501,tank-jumpsuit-1,UPDATE,Draft
8819129123037,tank-jumpsuit,UPDATE,Draft
8819129155805,tank-romper-1,UPDATE,Draft
8819129188573,test-product-1,UPDATE,Archived
8819129385181,poplin-lounge-pant,UPDATE,Draft
8819129483485,poplin-oversized-button-down,UPDATE,Draft
8819117654237,long-sleeve-crewneck-dress-maxi-earth,UPDATE,Draft
8819130106077,button-down,UPDATE,Draft
8819130171613,lounge-pant-stripe,UPDATE,Draft
8819130204381,button-down-stripe,UPDATE,Draft
8841853665501,long-sleeve-turtleneck-mini-dress-moss,UPDATE,Archived
8841853829341,shrunken-hoodie-sweatshirt-moss,UPDATE,Draft
8819120308445,jolene-button-down-top-1,UPDATE,Archived
8819120406749,jolene-button-down-top,UPDATE,Archived
8819120472285,jolene-button-down-top-2,UPDATE,Archived
8819120505053,dylan-boxer-short,UPDATE,Archived
8819120537821,esme-mini-sarong,UPDATE,Archived
8819120636125,dylan-boxer-short-1,UPDATE,Archived
8819120668893,dylan-boxer-short-2,UPDATE,Archived
8819120734429,esme-mini-sarong-1,UPDATE,Archived
8819120767197,esme-mini-sarong-2,UPDATE,Archived
8819120799965,bella-tank-one-piece,UPDATE,Archived
8819120832733,bella-tank-one-piece-1,UPDATE,Archived
8819120865501,bella-tank-one-piece-2,UPDATE,Archived
8819120898269,thea-90s-bikini-top,UPDATE,Archived
8819120963805,thea-90s-bikini-top-1,UPDATE,Archived
8819120996573,thea-90s-bikini-top-2,UPDATE,Archived
8819121029341,thea-90s-bikini-bottom,UPDATE,Archived
8819121062109,thea-90s-bikini-bottom-1,UPDATE,Archived
8819121127645,thea-90s-bikini-bottom-2,UPDATE,Archived
8819121160413,esme-maxi-sarong,UPDATE,Archived
8819121193181,esme-maxi-sarong-1,UPDATE,Archived
8819121225949,esme-maxi-sarong-2,UPDATE,Archived
8819121357021,willow-pant-2,UPDATE,Archived
8819121389789,willow-pant,UPDATE,Archived
8819121422557,lennon-robe,UPDATE,Archived
8819121455325,willow-pant-1,UPDATE,Archived
8819121520861,lennon-robe-1,UPDATE,Archived
8819121553629,lennon-robe-2,UPDATE,Archived
8819121783005,sloane-dress,UPDATE,Draft
8819121815773,romee-top,UPDATE,Draft
8819121848541,chloe-top,UPDATE,Draft
8819121881309,simone-top,UPDATE,Draft
8819121979613,tank-dress-mini-chocolate,UPDATE,Draft
8819122012381,emma-skirt,UPDATE,Draft
8819122045149,terry-raglan-cutoff-top,UPDATE,Draft
8819122077917,terry-raglan-cutoff-top-1,UPDATE,Draft
8819122143453,terry-boyfriend-short-1,UPDATE,Draft
8819122176221,terry-boyfriend-short,UPDATE,Draft
8819122208989,poppy,UPDATE,Draft
8819122274525,ines,UPDATE,Draft
8819122340061,cheyenne,UPDATE,Draft
8819122372829,emma-skirt-1,UPDATE,Draft
8819122503901,ines-1,UPDATE,Draft
8819122569437,blaise-1,UPDATE,Draft
8819122602205,blaise,UPDATE,Draft
8819122634973,ines-2,UPDATE,Draft
8819122667741,blaise-2,UPDATE,Draft
8819122733277,jamie,UPDATE,Draft
8819122766045,jamie-1,UPDATE,Draft
8819122831581,jamie-2,UPDATE,Draft
8819122864349,poppy-2,UPDATE,Draft
8819122897117,poppy-1,UPDATE,Draft
8819122929885,cheyenne-1,UPDATE,Draft
8819122962653,cheyenne-2,UPDATE,Draft
8819123060957,emma-skirt-3,UPDATE,Draft
8819123355869,ls-raglan-sweatshirt,UPDATE,Draft
8819123388637,ls-raglan-sweatshirt-2,UPDATE,Draft
8819123421405,ls-raglan-sweatshirt-1,UPDATE,Draft
8819123650781,square-neck-maxi-dress,UPDATE,Draft
8819123716317,square-neck-maxi-dress-1,UPDATE,Draft
8819123781853,square-neck-maxi-dress-2,UPDATE,Draft
8819123814621,square-neck-mini-dress-black,UPDATE,Draft
8819123847389,square-neck-mini-dress-cream,UPDATE,Draft
8819123945693,square-neck-mini-dress-2,UPDATE,Draft
8819124011229,henley-onesie,UPDATE,Draft
8819124043997,ls-raglan-sweatshirt-3,UPDATE,Draft
8819124404445,willa,UPDATE,Draft
8819124437213,willa-1,UPDATE,Draft
8819124469981,willa-2,UPDATE,Draft
8819124732125,terry-boyfriend-short-2,UPDATE,Draft
8819124764893,classic-sweatpant-clay,UPDATE,Draft
8819124797661,straight-leg-sweatpant-clay,UPDATE,Draft
8819124830429,shrunken-raglan-sweatshirt-clay,UPDATE,Draft
8819124961501,oversized-crewneck-sweatshirt-clay,UPDATE,Draft
8819124994269,terry-raglan-cutoff-top-2,UPDATE,Draft
8819125027037,terry-boyfriend-short-3,UPDATE,Draft
8819125092573,ls-raglan-sweatshirt-4,UPDATE,Draft
8819125223645,oversized-polo-sweatshirt-1,UPDATE,Draft
8819125256413,oversized-polo-sweatshirt,UPDATE,Draft
8819125289181,luna,UPDATE,Draft
8819125321949,luna-1,UPDATE,Draft
8819125387485,paige,UPDATE,Draft
8819125420253,paige-1,UPDATE,Draft
8819125551325,tank-maxi-dress,UPDATE,Draft
8819125584093,long-sleeve-fitted-top-clay,UPDATE,Draft
8819125616861,long-sleeve-crewneck-mini-dress,UPDATE,Draft
8819125649629,long-sleeve-crewneck-maxi-dress,UPDATE,Draft
8819125747933,high-neck-fitted-tank-4,UPDATE,Draft
8819125879005,emma-skirt-8,UPDATE,Draft
8819121586397,georgia-maxi-dress,UPDATE,Draft
8819112739037,cropped-thermal-henley-black,UPDATE,Draft
8819126501597,lounge-pant-clay,UPDATE,Draft
8819126567133,terry-boyfriend-short-4,UPDATE,Draft
8819126763741,loose-tank,UPDATE,Draft
8819126796509,loose-tank-1,UPDATE,Draft
8819126829277,loose-tank-2,UPDATE,Draft
8919858479325,shrunken-hoodie-sweatshirt-poppy,UPDATE,Archived
8919858544861,iris-tank-poppy,UPDATE,Archived
8919858807005,iris-mini-dress-poppy,UPDATE,Archived
8919859593437,grace-one-piece-poppy,UPDATE,Draft
8919859626205,kaia-bikini-top-poppy,UPDATE,Archived
8919859658973,kaia-one-piece-poppy,UPDATE,Draft
8919859691741,kaia-bikini-bottom-poppy,UPDATE,Archived
8919860117725,short-sleeve-raglan-sweatshirt-sage,UPDATE,Archived
8919860216029,long-sleeve-baby-tee-sage,UPDATE,Archived
8919860609245,kaia-bikini-top-sage,UPDATE,Archived
8919860642013,grace-one-piece-sage,UPDATE,Draft
8919860674781,kaia-bikini-bottom-sage,UPDATE,Archived
8919861330141,short-sleeve-baby-tee-n-br-1,UPDATE,Archived
8919861362909,lounge-pant-b-ct,UPDATE,Archived
8919861559517,lounge-pant-i-cm,UPDATE,Draft
8919861592285,lounge-pant-h-ct,UPDATE,Draft
8919861625053,lounge-pant-c-ct,UPDATE,Archived
8919861690589,lounge-pant-m-cm-copy,UPDATE,Archived
8919861756125,lounge-pant-ho-ct,UPDATE,Archived
8919861821661,short-sleeve-baby-tee-heather-oatmeal-cm,UPDATE,Archived
8919862083805,fitted-crewneck-short-sleeve-t-shirt-cm,UPDATE,Archived
8919862116573,fitted-crewneck-short-sleeve-t-shirt-sj,UPDATE,Draft
8919862247645,fitted-crewneck-short-sleeve-t-shirt-sj-1,UPDATE,Archived
8919862280413,fitted-crewneck-short-sleeve-t-shirt-sj-2,UPDATE,Archived
8919862313181,fitted-crewneck-short-sleeve-t-shirt-copy,UPDATE,Archived
8919862509789,lounge-pant-n-cm,UPDATE,Archived
8920157683933,fitted-crewneck-long-sleeve-t-shirt-sj-ivory,UPDATE,Draft
8854000337117,fitted-crewneck-long-sleeve-t-shirt-3,UPDATE,Draft
8887845716189,shrunken-raglan-sweatshirt-choco,UPDATE,Draft
8888735662301,oversized-crewneck-sweatshirt-choco,UPDATE,Draft
8903883063517,short-sleeve-baby-tee-moss-br,UPDATE,Archived
8903886471389,short-sleeve-baby-tee-ch-br,UPDATE,Archived
8903890075869,short-sleeve-baby-tee-heather-grey-br,UPDATE,Archived
8903912521949,short-sleeve-baby-tee-ivory-br,UPDATE,Archived
8903924449501,long-sleeve-baby-tee-ivory-br,UPDATE,Archived
8903926907101,long-sleeve-baby-tee-heather-grey-br,UPDATE,Archived
8903929757917,long-sleeve-baby-tee-navy-br,UPDATE,Archived
8903930347741,long-sleeve-baby-tee-moss-br,UPDATE,Archived
8903934476509,long-sleeve-baby-tee-chocolate-br,UPDATE,Archived
8903941882077,long-sleeve-baby-tee-heather-oatmeal-cm,UPDATE,Archived
8819126173917,short-sleeve-baby-tee-clay,UPDATE,Draft
