ID,Handle,Command,Title,Metafield: custom.product_collections [list.single_line_text_field]
8940198363367,long-sleeve-fitted-top-black,MERGE,Long Sleeve Fitted Top,"[""Tops"",""T-shirts"",""Lounge"",""Lounge Tops""]"
8940198822119,cropped-long-sleeve-fitted-top-cream,MERGE,Cropped Long Sleeve Fitted Top,"[""Tops"",""T-shirts""]"
8940198625511,long-sleeve-fitted-top-heather-grey,MERGE,Long Sleeve Fitted Top,"[""Tops"",""T-shirts"",""Lounge"",""Lounge Tops""]"
8940198559975,long-sleeve-fitted-top-cream,MERGE,Long Sleeve Fitted Top,"[""Tops"",""T-shirts"",""Lounge"",""Lounge Tops""]"
8940199084263,cropped-long-sleeve-fitted-top-heather-grey,MERGE,Cropped Long Sleeve Fitted Top,"[""Tops"",""T-shirts""]"
8940199444711,cropped-fitted-turtleneck-top-heather-grey,MERGE,Cropped Fitted Turtleneck Top,
8940199543015,thin-strap-fitted-tank-black,MERGE,Thin Strap Fitted Tank,"[""Tanks""]"
8940199608551,thin-strap-fitted-tank-cream,MERGE,Thin Strap Fitted Tank,"[""Tanks""]"
8940199674087,thin-strap-fitted-tank-heather-grey,MERGE,Thin Strap Fitted Tank,
8940199248103,cropped-fitted-turtleneck-top-black,MERGE,Cropped Fitted Turtleneck Top,"[""Tops"",""T-shirts""]"
8940199313639,cropped-fitted-turtleneck-top-cream,MERGE,Cropped Fitted Turtleneck Top,"[""Tops"",""T-shirts""]"
8940199837927,cropped-thin-strap-fitted-tank-cream,MERGE,Cropped Thin Strap Fitted Tank,
8940199772391,cropped-thin-strap-fitted-tank-black,MERGE,Cropped Thin Strap Fitted Tank,"[""Tanks""]"
8940212027623,esme-mini-sarong,MERGE,Esme Mini Sarong,"[""Cover Ups"",""Swim""]"
8940211634407,dylan-boxer-short,MERGE,Dylan Boxer Short,
8940212125927,esme-mini-sarong-1,MERGE,Esme Mini Sarong,"[""Cover Ups"",""Swim""]"
8940212191463,esme-mini-sarong-2,MERGE,Esme Mini Sarong,"[""Cover Ups"",""Swim""]"
8940211929319,dylan-boxer-short-2,MERGE,Dylan Boxer Short,
8940212224231,bella-tank-one-piece,MERGE,Bella Tank One Piece,"[""One Pieces"",""Swim""]"
8940211765479,dylan-boxer-short-1,MERGE,Dylan Boxer Short,
8940212388071,bella-tank-one-piece-1,MERGE,Bella Tank One Piece,"[""One Pieces"",""Swim""]"
8940212650215,thea-90s-bikini-top,MERGE,Thea Bikini Top,"[""Bikini Tops"",""Swim""]"
8940212584679,bella-tank-one-piece-2,MERGE,Bella Tank One Piece,"[""One Pieces"",""Swim""]"
8940212781287,thea-90s-bikini-top-1,MERGE,Thea Bikini Top Ivory,"[""Bikini Tops"",""Swim""]"
8940213043431,thea-90s-bikini-bottom,MERGE,Thea Bikini Bottom,"[""Bikini Bottoms"",""Swim""]"
8940212912359,thea-90s-bikini-top-2,MERGE,Thea Bikini Top Chocolate,"[""Bikini Tops"",""Swim""]"
8940213141735,thea-90s-bikini-bottom-1,MERGE,Thea Bikini Bottom,"[""Bikini Bottoms"",""Swim""]"
8940213272807,thea-90s-bikini-bottom-2,MERGE,Thea Bikini Bottom,"[""Bikini Bottoms"",""Swim""]"
8940213371111,esme-maxi-sarong,MERGE,Esme Maxi Sarong,"[""Cover Ups"",""Swim""]"
8940213403879,esme-maxi-sarong-1,MERGE,Esme Maxi Sarong,"[""Cover Ups"",""Swim""]"
8940213502183,esme-maxi-sarong-2,MERGE,Esme Maxi Sarong,"[""Cover Ups"",""Swim""]"
8940213567719,willow-pant,MERGE,Willow Pant,"[""Cover Ups"",""Swim""]"
8940213731559,willow-pant-1,MERGE,Willow Pant,"[""Cover Ups"",""Swim""]"
8940214059239,lennon-robe,MERGE,Lennon Robe,
8940214190311,lennon-robe-1,MERGE,Lennon Robe,
8940214288615,lennon-robe-2,MERGE,Lennon Robe,
8940213928167,willow-pant-2,MERGE,Willow Pant,"[""Cover Ups"",""Bottoms"",""Swim""]"
8940214452455,georgia-maxi-dress,MERGE,Georgia Dress Cream,
8940214485223,charlie-top,MERGE,Charlie Top,"[""Tops""]"
8940214616295,sloane-dress,MERGE,Sloane Dress,
8940214976743,chloe-top,MERGE,Chloé Top,
8940215206119,simone-top,MERGE,Simone Top,
8940214747367,romee-top,MERGE,Romee Top,
8940215402727,tank-dress-mini-chocolate,MERGE,Tank Mini Dress,"[""Dresses"",""Mini""]"
8940215599335,terry-raglan-cutoff-top,MERGE,TERRY RAGLAN CUTOFF TOP,"[""Tops"",""Lounge"",""Lounge Tops""]"
8940215697639,terry-raglan-cutoff-top-1,MERGE,TERRY RAGLAN CUTOFF TOP CREAM,"[""Tops"",""Lounge"",""Lounge Tops""]"
8940215304423,emma-skirt,MERGE,Emma Skirt,
8940216058087,ines,MERGE,Ines Racerback Tank,
8940216123623,poppy,MERGE,Poppy Cardigan Millet,
8940215861479,terry-boyfriend-short,MERGE,TERRY BOYFRIEND SHORT,"[""Shorts"",""Bottoms"",""Lounge"",""Lounge Bottoms""]"
8940216254695,cheyenne,MERGE,Cheyenn Cropped Sweater,
8940216582375,francis-top,MERGE,Francis Sweater,"[""Sweaters"",""Knitwear"",""Knitwear Tops"",""Tops""]"
8940216713447,ines-1,MERGE,Ines Racerback Tank,
8940216352999,emma-skirt-1,MERGE,Emma Skirt,"[""Skirts"",""Bottoms"",""Knitwear"",""Knitwear Bottoms""]"
8940217008359,blaise,MERGE,BLAISE,[]
8940215927015,terry-boyfriend-short-1,MERGE,TERRY BOYFRIEND SHORT,"[""Shorts"",""Bottoms"",""Lounge"",""Lounge Bottoms""]"
8940216451303,james-sweater-millet,MERGE,James Sweater,"[""Sweaters"",""Knitwear""]"
8940216844519,ines-2,MERGE,Ines Racerback Top,"[""Knitwear"",""Knitwear Tops""]"
8940217073895,blaise-1,MERGE,BLAISE,[]
8940217172199,blaise-2,MERGE,BLAISE,[]
8940217204967,jamie,MERGE,JAMIE,[]
8940217303271,jamie-1,MERGE,JAMIE,[]
8940217368807,jamie-2,MERGE,JAMIE,[]
8940217499879,poppy-2,MERGE,Poppy Cardigan Cream,[]
8940217434343,poppy-1,MERGE,Poppy Cardigan Black,
8940217630951,cheyenne-2,MERGE,Cheyenne Boat Neck Sweater,"[""Sweaters""]"
8940217729255,emma-skirt-3,MERGE,Emma Skirt,"[""Skirts"",""Bottoms"",""Knitwear"",""Knitwear Bottoms""]"
8940217532647,cheyenne-1,MERGE,Cheyenn Cropped Sweater,
8940217958631,ls-baby-tee-black,MERGE,Long Sleeve Baby Tee,"[""T-shirts"",""Tops"",""Lounge Tops""]"
8940218089703,ls-baby-tee-ivory,MERGE,Long Sleeve Baby Tee,"[""T-shirts"",""Tops"",""Lounge Tops""]"
8940218253543,ls-baby-tee-heather-grey,MERGE,Long Sleeve Baby Tee,"[""T-shirts"",""Tops"",""Lounge Tops""]"
8940218351847,long-sleeve-turtleneck-dress-maxi-chocolate,MERGE,Long Sleeve Turtleneck Maxi Dress,"[""Dresses"",""Maxi""]"
8940218482919,ls-raglan-sweatshirt,MERGE,Long Sleeve Raglan Sweatshirt,
8940218581223,ls-raglan-sweatshirt-1,MERGE,Long Sleeve Raglan Sweatshirt,
