"ID","Handle","Command","Title","Status","Published","Published At"
"9007057600733","fitted-crewneck-short-sleeve-t-shirt-dusty-pink","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Active","true","2025-05-02 14:24:17 -0700"
"9007057633501","carrie-dress-dusty-pink","MERGE","CARRIE DRESS","Active","true","2025-05-02 14:24:18 -0700"
"9007057666269","boy-short-dusty-pink","MERGE","HIGH WAISTED BOY SHORT","Active","true","2025-05-02 14:24:19 -0700"
"9007057731805","short-sleeve-baby-tee-dusty-pink","MERGE","SHORT SLEEVE BABY TEE","Active","true","2025-05-02 14:24:20 -0700"
"9007057764573","short-sleeve-baby-tee-dusty-pink-br","MERGE","SHORT SLEEVE BABY TEE","Active","true","2025-05-02 14:24:24 -0700"
"9007057797341","rib-tank-dusty-pink","MERGE","RIB TANK","Active","true","2025-05-02 14:24:24 -0700"
"9007057830109","lounge-pant-dusty-pink","MERGE","LOUNGE PANT","Active","true","2025-05-02 14:24:24 -0700"
"9007057862877","lounge-pant-dusty-pink-br","MERGE","LOUNGE PANT","Active","true","2025-05-02 14:24:24 -0700"
"9007057895645","brody-pant-dusty-pink-silk-1","MERGE","BRODY PANT","Active","true","2025-05-19 14:20:38 -0700"
"9007057928413","camila-midi-skirt-dusty-pink","MERGE","CAMILA MIDI SKIRT","Active","true","2025-05-19 14:20:38 -0700"
"9007057961181","mila-camisole-dusty-pink","MERGE","MILA CAMISOLE","Active","true","2025-05-19 14:20:36 -0700"
"9007058125021","isla-top-dusty-pink","MERGE","ISLA TOP","Active","true","2025-05-19 14:53:15 -0700"
"9007058157789","isla-bottom-dusty-pink","MERGE","ISLA BOTTOM","Active","true","2025-05-19 14:53:14 -0700"
"9007058190557","thea-top-dusty-pink","MERGE","THEA TOP","Active","true","2025-05-19 15:37:13 -0700"
"9007058223325","thea-bottom-dusty-pink","MERGE","THEA BOTTOM","Active","true","2025-05-19 15:37:13 -0700"
"9007058256093","constance-top-dusty-pink","MERGE","CONSTANCE TOP","Active","true","2025-05-26 08:14:39 -0700"
"9007058288861","jude-short-dusty-pink","MERGE","JUDE SHORT","Active","true","2025-05-26 08:28:37 -0700"
"9007058321629","brody-pant-dusty-pink-cg","MERGE","BRODY PANT","Active","true","2025-05-26 08:19:23 -0700"
"8841854058717","brody-moss","MERGE","BRODY PANT","Active","true","2024-11-11 11:29:48 -0800"
"8841854091485","josephine-pant-moss","MERGE","JOSEPHINE PANT","Active","true","2024-11-08 13:16:10 -0800"
"8841854157021","mila-silk-camisole-moss","MERGE","MILA CAMISOLE","Active","true","2024-11-08 13:16:11 -0800"
"8841854320861","long-sleeve-fitted-top-chocolate","MERGE","LONG SLEEVE FITTED TOP","Active","true","2024-12-02 17:11:41 -0800"
"8841854451933","oversized-crewneck-sweatshirt-chocolate","MERGE","OVERSIZED CREWNECK SWEATSHIRT","Active","true","2024-12-01 08:37:16 -0800"
"8841854550237","luca-scarf","MERGE","LUCA SCARF","Active","true","2024-11-15 08:58:02 -0800"
"8853998633181","fitted-crewneck-short-sleeve-t-shirt-moss","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Active","true","2024-11-01 14:28:57 -0700"
"8853998665949","fitted-crewneck-long-sleeve-t-shirt-moss","MERGE","FITTED CREWNECK LONG SLEEVE T-SHIRT","Active","true","2024-11-01 09:08:55 -0700"
"8853999223005","eve-silk-maxi-dress-black","MERGE","EVE MAXI","Active","true","2024-11-14 13:34:27 -0800"
"8853999288541","brody-pant-ivory","MERGE","BRODY PANT","Active","true","2024-11-08 13:16:10 -0800"
"8853999321309","josephine-pant-ivory","MERGE","JOSEPHINE PANT","Active","true","2024-11-08 13:16:10 -0800"
"8853999354077","josephine-trouser-black","MERGE","JOSEPHINE PANT","Active","true","2024-11-08 13:16:12 -0800"
"8853999452381","mila-silk-camisole-ivory","MERGE","MILA CAMISOLE","Active","true","2024-11-08 13:16:10 -0800"
"8853999485149","constance-ivory","MERGE","CONSTANCE TOP","Active","true","2024-11-08 13:16:11 -0800"
"8853999648989","mila-silk-camisole-black","MERGE","MILA CAMISOLE","Active","true","2024-11-08 13:16:11 -0800"
"8853999681757","cropped-fitted-turtleneck-top-chocolate","MERGE","CROPPED FITTED TURTLENECK TOP","Active","true","2024-11-22 15:49:16 -0800"
"8819111952605","v-neck-t-shirt-ivory","MERGE","V-NECK T-SHIRT","Active","true","2021-09-09 14:56:56 -0700"
"8853999911133","ls-baby-tee-chocolate","MERGE","LONG SLEEVE BABY TEE","Active","true","2024-11-17 09:28:34 -0800"
"8854000009437","levi-beanie-chocolate","MERGE","LEVI BEANIE","Active","true","2024-11-15 08:58:01 -0800"
"8854000042205","fitted-turtleneck-top-sj-cream","MERGE","FITTED TURTLENECK TOP","Active","true","2024-11-29 08:16:29 -0800"
"8854000107741","brady-heather-grey","MERGE","BRADY SWEATER","Active","true","2024-11-08 13:15:01 -0800"
"8854000173277","fitted-turtleneck-top-sj-black","MERGE","FITTED TURTLENECK TOP","Active","true","2024-11-29 08:16:29 -0800"
"8854000206045","eve","MERGE","EVE","Active","false",""
"8854000304349","fitted-crewneck-long-sleeve-t-shirt-sj-black","MERGE","FITTED CREWNECK LONG SLEEVE T-SHIRT","Active","true","2024-11-29 08:16:28 -0800"
"8854000337117","fitted-crewneck-long-sleeve-t-shirt-3","MERGE","FITTED CREWNECK LONG SLEEVE T-SHIRT","Draft","false",""
"8854000369885","fitted-crewneck-long-sleeve-t-shirt-sj-cream","MERGE","FITTED CREWNECK LONG SLEEVE T-SHIRT","Active","true","2024-11-29 08:16:28 -0800"
"8854000402653","fitted-crewneck-short-sleeve-t-shirt-sj-black","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Active","true","2024-11-29 08:16:28 -0800"
"8854000435421","fitted-crewneck-short-sleeve-t-shirt-sj-cream","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Active","true","2024-11-29 08:16:28 -0800"
"8854000500957","luca-scarf-black","MERGE","LUCA SCARF","Active","true","2024-11-15 08:58:01 -0800"
"8854000632029","fitted-crewneck-short-sleeve-t-shirt-7","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Active","false",""
"8854000697565","luca-scarf-hoat","MERGE","LUCA SCARF","Active","true","2024-11-15 08:58:02 -0800"
"8854000730333","levi-beanie-1","MERGE","LEVI BEANIE","Active","true","2024-11-15 08:58:01 -0800"
"8854000763101","levi-beanie-oatmeal","MERGE","LEVI BEANIE","Active","true","2024-11-15 08:58:01 -0800"
"8854002565341","brady-chocolate","MERGE","BRADY SWEATER","Active","true","2023-11-14 07:19:24 -0800"
"8854005383389","brady-black","MERGE","BRADY SWEATER","Active","true","2024-09-28 20:48:16 -0700"
"8885287190749","emma-skirt-5","MERGE","Emma Skirt","Active","true","2024-02-02 07:32:58 -0800"
"8887771594973","long-sleeve-crewneck-mini-dress-heather-oatmeal","MERGE","LONG SLEEVE CREWNECK MINI DRESS","Active","true","2024-09-17 07:12:32 -0700"
"8887771660509","long-sleeve-crewneck-maxi-dress-heather-oatmeal","MERGE","LONG SLEEVE CREWNECK MAXI DRESS","Active","true","2024-09-17 07:12:07 -0700"
"8887771693277","long-sleeve-turtleneck-mini-dress-heather-oatmeal","MERGE","LONG SLEEVE TURTLENECK MINI DRESS","Active","true","2024-09-19 14:21:07 -0700"
"8887771726045","long-sleeve-turtleneck-maxi-dress-heather-oatmeal","MERGE","LONG SLEEVE TURTLENECK MAXI DRESS","Active","true","2024-09-19 14:20:51 -0700"
"8887771824349","drawstring-pant-heather-oatmeal","MERGE","DRAWSTRING PANT","Active","true","2024-09-10 07:13:32 -0700"
"8887771922653","emma-skirt-heather-oatmeal","MERGE","EMMA SKIRT","Active","true","2024-09-19 14:20:28 -0700"
"8887772348637","highwaist-legging-chocolate","MERGE","HIGH WAIST LEGGING","Active","true","2024-12-02 17:15:50 -0800"
"8887772446941","long-sleeve-baby-tee-heather-oatmeal","MERGE","LONG SLEEVE BABY TEE","Active","true","2024-09-13 07:15:12 -0700"
"8887772479709","long-sleeve-fitted-top-heather-oatmeal","MERGE","LONG SLEEVE FITTED TOP","Active","true","2024-09-10 07:14:37 -0700"
"8887772512477","short-sleeve-baby-tee-heather-oatmeal","MERGE","SHORT SLEEVE BABY TEE","Active","true","2024-09-13 07:14:55 -0700"
"8887772578013","high-neck-fitted-tank-heather-oatmeal","MERGE","HIGH NECK FITTED TANK","Active","true","2024-09-19 14:39:07 -0700"
"8887772840157","classic-sweatpant-heather-oatmeal","MERGE","CLASSIC SWEATPANT","Active","true","2024-10-06 08:26:34 -0700"
"8887773003997","straight-leg-sweatpant-heather-oatmeal","MERGE","STRAIGHT LEG SWEATPANT","Active","true","2024-10-10 19:26:13 -0700"
"8887773102301","shrunken-raglan-heather-oatmeal","MERGE","SHRUNKEN RAGLAN SWEATSHIRT","Active","true","2024-10-10 19:38:02 -0700"
"8887773135069","oversized-crewneck-heather-oatmeal","MERGE","OVERSIZED CREWNECK SWEATSHIRT","Active","true","2024-10-10 20:16:09 -0700"
"8887773167837","shrunken-raglan-hoodie-heather-oatmeal","MERGE","SHRUNKEN HOODIE SWEATSHIRT","Active","true","2024-10-10 19:37:42 -0700"
"8887773954269","straight-leg-sweatpant-chocolate","MERGE","STRAIGHT LEG SWEATPANT","Active","true","2024-12-01 08:53:32 -0800"
"8887773987037","shrunken-raglan-sweatshirt-chocolate","MERGE","SHRUNKEN RAGLAN SWEATSHIRT","Active","true","2024-12-01 08:38:44 -0800"
"8887774085341","emma-skirt-chocolate","MERGE","EMMA SKIRT","Active","true","2024-12-02 17:16:38 -0800"
"8887774150877","cropped-half-zip-sweatshirt-choco","MERGE","CROPPED HALF-ZIP SWEATSHIRT","Active","true","2024-12-01 08:35:29 -0800"
"8887774445789","lenny-chocolate","MERGE","LENNY VEST","Active","true","2024-12-02 17:54:35 -0800"
"8887774740701","high-waist-legging-heather-oatmeal","MERGE","HIGH WAIST LEGGING","Active","true","2025-01-02 13:43:46 -0800"
"8887774839005","drawstring-short-heather-oatmeal","MERGE","DRAWSTRING SHORT","Active","true","2025-01-02 13:44:14 -0800"
"8887774871773","vinny-boyfriend-pocket-sweatpant-heather-oatmeal","MERGE","Vinny Boyfriend Pocket Sweatpant","Active","false",""
"8887774937309","sonny-short-sleeve-sweatshirt-heather-oatmeal","MERGE","Sonny Short Sleeve Sweatshirt","Active","false",""
"8887775002845","sonny-oversized-sweatshirt-heather-oatmeal","MERGE","Sonny Oversized Sweatshirt","Active","false",""
"8887775068381","tube-maxi-dress-heather-oatmeal","MERGE","TUBE MAXI DRESS","Active","true","2025-01-02 13:44:31 -0800"
"8887775101149","short-sleeve-boyfriend-t-shirt-heather-oatmeal","MERGE","Short Sleeve Boyfriend T-Shirt","Active","true","2025-01-02 13:44:57 -0800"
"8887775166685","long-sleeve-boyfriend-t-shirt-heather-oatmeal","MERGE","LONG SLEEVE BOYFRIEND T-SHIRT","Active","true","2025-01-02 13:46:00 -0800"
"8887775199453","lounge-pant-heather-oatmeal","MERGE","LOUNGE PANT","Active","true","2025-01-02 13:49:08 -0800"
"8887845716189","shrunken-raglan-sweatshirt-choco","MERGE","Shrunken Raglan Sweatshirt","Draft","false",""
"8888735662301","oversized-crewneck-sweatshirt-choco","MERGE","Oversized Crewneck Sweatshirt","Draft","false",""
"8903871856861","short-sleeve-baby-tee-b-br","MERGE","Short Sleeve Baby Tee","Active","false",""
"8903880016093","short-sleeve-baby-tee-heather-oatme-cm","MERGE","Short Sleeve Baby Tee","Active","true","2025-01-14 04:51:32 -0800"
"8903883063517","short-sleeve-baby-tee-moss-br","MERGE","SHORT SLEEVE BABY TEE","Active","true","2025-06-06 15:28:44 -0700"
"8903886078173","short-sleeve-baby-tee-navy-cm-copy","MERGE","Short Sleeve Baby Tee","Active","true","2025-01-14 05:18:55 -0800"
"8903886471389","short-sleeve-baby-tee-ch-br","MERGE","Short Sleeve Baby Tee","Archived","false",""
"8903890075869","short-sleeve-baby-tee-heather-grey-br","MERGE","Short Sleeve Baby Tee","Archived","false",""
"8903912521949","short-sleeve-baby-tee-ivory-br","MERGE","Short Sleeve Baby Tee","Archived","false",""
"8903923892445","long-sleeve-baby-tee-b-br","MERGE","Long Sleeve Baby Tee","Active","true","2025-01-14 06:28:04 -0800"
"8903924449501","long-sleeve-baby-tee-ivory-br","MERGE","Long Sleeve Baby Tee","Archived","false",""
"8903926907101","long-sleeve-baby-tee-heather-grey-br","MERGE","Long Sleeve Baby Tee","Archived","false",""
"8903929757917","long-sleeve-baby-tee-navy-br","MERGE","Long Sleeve Baby Tee","Archived","false",""
"8903930347741","long-sleeve-baby-tee-moss-br","MERGE","Long Sleeve Baby Tee","Archived","false",""
"8903934476509","long-sleeve-baby-tee-chocolate-br","MERGE","Long Sleeve Baby Tee","Archived","false",""
"8903941882077","long-sleeve-baby-tee-heather-oatmeal-cm","MERGE","Long Sleeve Baby Tee","Archived","false",""
"8903972946141","cropped-fitted-turtleneck-top-chocolate-sj","MERGE","Cropped Fitted Turtleneck  Top","Active","true","2025-01-14 07:21:53 -0800"
"8903977828573","cropped-fitted-turtleneck-top-navy-sj","MERGE","Cropped Fitted Turtleneck Top","Active","true","2025-01-14 07:33:34 -0800"
"8819113525469","super-cropped-rib-tank-ivory","MERGE","Super Cropped Rib Tank","Draft","false",""
"8903982219485","cropped-fitted-turtleneck-top-moss-sj","MERGE","Cropped Fitted Turtleneck Top","Active","true","2025-01-14 07:42:20 -0800"
"8904000209117","fitted-crewneck-short-sleeve-t-shirt-ivory-sj","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Active","true","2025-01-14 07:58:56 -0800"
"8904005615837","fitted-crewneck-short-sleeve-t-shirt-cream-cm","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Active","true","2025-01-14 08:08:06 -0800"
"8904010531037","fitted-crewneck-short-sleeve-t-shirt-chocolate-sj","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Active","true","2025-01-14 08:19:45 -0800"
"8904013643997","fitted-crewneck-short-sleeve-t-shirt-heather-grey-sj","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Active","true","2025-01-14 08:24:57 -0800"
