"ID","Handle","Command","Title","Status"
"8819115983069","chloe","MERGE","Chloé Top","Active"
"8819116015837","simone","MERGE","Simone Top","Active"
"8819116114141","theodore","MERGE","Theodore Cardigan","Active"
"8819116146909","emma","MERGE","Emma Skirt","Active"
"8819116179677","sadie","MERGE","Sadie Dress","Active"
"8819116277981","theodore-1","MERGE","Theodore Cardigan","Active"
"8819116343517","theodore-2","MERGE","Theodore Cardigan","Active"
"8819116376285","theodore-3","MERGE","Theodore Cardigan","Active"
"8819116441821","james","MERGE","James Sweater","Active"
"8819116474589","james-1","MERGE","James Sweater","Active"
"8819116507357","james-2","MERGE","James Sweater","Active"
"8819116572893","francis","MERGE","Francis Sweater","Active"
"8819116605661","james-3","MERGE","James Sweater","Active"
"8819116638429","francis-1","MERGE","Francis Sweater","Active"
"8819116671197","francis-3","MERGE","Francis Sweater","Active"
"8819116736733","long-sleeve-crewneck-dress-mini-earth","MERGE","Long Sleeve Crewneck Mini Dress","Active"
"8819116769501","francis-2","MERGE","Francis Sweater","Active"
"8819116802269","short-sleeve-baby-tee-earth","MERGE","Short Sleeve Baby Tee","Active"
"8819116867805","lounge-pant-earth","MERGE","Lounge Pant","Active"
"8819116900573","tank-dress-mini-earth","MERGE","Tank Mini Dress","Active"
"8819116933341","long-sleeve-crewneck-dress-maxi-sand","MERGE","Long Sleeve Crewneck Maxi Dress","Active"
"8819116998877","tank-dress-mini-oat","MERGE","Tank Mini Dress","Active"
"8819117031645","tank-dress-mini-olive","MERGE","Tank Mini Dress","Active"
"8819117097181","tank-dress-mini-sand","MERGE","Tank Mini Dress","Active"
"8819117129949","tank-dress-maxi-chocolate","MERGE","Tank Maxi Dress","Active"
"8819117162717","tank-dress-maxi-earth","MERGE","Tank Maxi Dress","Active"
"8819117228253","tank-dress-maxi-olive","MERGE","Tank Maxi Dress","Active"
"8819117293789","tank-dress-maxi-oat","MERGE","Tank Maxi Dress","Active"
"8819117326557","tank-dress-maxi-sand","MERGE","Tank Maxi Dress","Active"
"8819117424861","long-sleeve-crewneck-dress-mini-chocolate","MERGE","Long Sleeve Crewneck Mini Dress","Active"
"8819117457629","long-sleeve-crewneck-dress-maxi-chocolate","MERGE","Long Sleeve Crewneck Maxi Dress","Active"
"8819117523165","long-sleeve-crewneck-dress-mini-sand","MERGE","Long Sleeve Crewneck Mini Dress","Active"
"8819117555933","long-sleeve-crewneck-dress-mini-oat","MERGE","Long Sleeve Crewneck Mini Dress","Active"
"8819108511965","short-sleeve-boyfriend-tee","MERGE","Short Sleeve Boyfriend T-Shirt","Active"
"8819117687005","long-sleeve-crewneck-dress-maxi-oat","MERGE","Long Sleeve Crewneck Maxi Dress","Active"
"8819117719773","long-sleeve-turtleneck-dress-mini-chocolate","MERGE","Long Sleeve Turtleneck Mini Dress","Active"
"8819117752541","long-sleeve-turtleneck-dress-maxi-earth","MERGE","Long Sleeve Turtleneck Maxi Dress","Active"
"8819117850845","long-sleeve-turtleneck-dress-maxi-sand","MERGE","Long Sleeve Turtleneck Maxi Dress","Active"
"8819117916381","short-sleeve-baby-tee-chocolate","MERGE","Short Sleeve Baby Tee","Active"
"8819117949149","short-sleeve-baby-tee-oat","MERGE","Short Sleeve Baby Tee","Active"
"8819118047453","short-sleeve-baby-tee-sand","MERGE","Short Sleeve Baby Tee","Active"
"8819118080221","short-sleeve-baby-tee-olive","MERGE","Short Sleeve Baby Tee","Active"
"8819118112989","short-sleeve-boyfriend-t-shirt-chocolate","MERGE","Short Sleeve Boyfriend T-Shirt","Active"
"8819118145757","short-sleeve-boyfriend-t-shirt-olive","MERGE","Short Sleeve Boyfriend T-Shirt Olive","Active"
"8819118211293","short-sleeve-boyfriend-t-shirt-oat","MERGE","Short Sleeve Boyfriend T-Shirt Oat","Active"
"8819118244061","short-sleeve-boyfriend-t-shirt-sand","MERGE","Short Sleeve Boyfriend T-Shirt","Active"
"8819118276829","long-sleeve-boyfriend-t-shirt-oat","MERGE","Long Sleeve Boyfriend T-Shirt","Active"
"8819118309597","long-sleeve-boyfriend-t-shirt-chocolate","MERGE","Long Sleeve Boyfriend T-Shirt","Active"
"8819118375133","long-sleeve-boyfriend-t-shirt-olive","MERGE","Long Sleeve Boyfriend T-Shirt","Active"
"8819118473437","long-sleeve-boyfriend-t-shirt-sand","MERGE","Long Sleeve Boyfriend T-Shirt","Active"
"8819118506205","rib-tank-chocolate","MERGE","Rib Tank","Active"
"8819118538973","rib-tank-oat","MERGE","Rib Tank","Active"
"8819118604509","rib-tank-olive","MERGE","Rib Tank","Active"
"8819118637277","rib-tank-sand","MERGE","Rib Tank","Active"
"8819118735581","rib-tank-earth","MERGE","Rib Tank","Active"
"8819118768349","cropped-scoop-neck-tank-earth","MERGE","Cropped Scoop Neck Tank","Active"
"8819118801117","cropped-scoop-neck-tank-chocolate","MERGE","Cropped Scoop Neck Tank","Active"
"8819118899421","cropped-scoop-neck-tank-oat","MERGE","Cropped Scoop Neck Tank","Active"
"8819118932189","cropped-scoop-neck-tank-olive","MERGE","Cropped Scoop Neck Tank","Active"
"8819118964957","cropped-scoop-neck-tank-sand","MERGE","Cropped Scoop Neck Tank","Active"
"8819118997725","long-sleeve-cropped-t-shirt-earth","MERGE","Long Sleeve Cropped T-shirt","Active"
"8819119063261","long-sleeve-cropped-t-shirt-olive","MERGE","Long Sleeve Cropped T-Shirt","Active"
"8819119128797","lounge-pant-chocolate","MERGE","Lounge Pant","Active"
"8819119161565","lounge-pant-olive","MERGE","Lounge Pant","Active"
"8819119194333","lounge-pant-oat","MERGE","Lounge Pant","Active"
"8819119227101","lounge-pant-sand","MERGE","Lounge Pant","Active"
"8819119292637","lounge-boxer-short-chocolate","MERGE","Lounge Boxer Short","Active"
"8819119325405","lounge-boxer-short-oat","MERGE","Lounge Boxer Short","Active"
"8819119358173","lounge-boxer-short-olive","MERGE","Lounge Boxer Short","Active"
"8819119390941","lounge-boxer-short-sand","MERGE","Lounge Boxer Short","Active"
"8819119489245","super-cropped-rib-tank-1","MERGE","Super Cropped Rib Tank","Active"
"8819119522013","super-cropped-rib-tank-2","MERGE","Super Cropped Rib Tank","Active"
"8819119554781","super-cropped-rib-tank-3","MERGE","Super Cropped Rib Tank","Active"
"8819119587549","high-neck-fitted-tank-1","MERGE","High Neck Fitted Tank","Active"
"8819119653085","high-neck-fitted-tank","MERGE","High Neck Fitted Tank","Active"
"8819119685853","high-neck-fitted-tank-2","MERGE","High Neck Fitted Tank","Active"
"8819119718621","cropped-rib-tank-oat","MERGE","Cropped Rib Tank","Active"
"8819119784157","cropped-rib-tank-sand","MERGE","Cropped Rib Tank","Active"
"8819119849693","high-neck-fitted-tank-3","MERGE","High Neck Fitted Tank","Active"
"8819119882461","amelia-halter-one-piece","MERGE","Amelia Halter One Piece","Active"
"8819119915229","amelia-halter-one-piece-1","MERGE","Amelia Halter One Piece","Active"
"8819119980765","amelia-halter-one-piece-2","MERGE","Amelia Halter One Piece","Active"
"8819120013533","isla-string-bikini-top-1","MERGE","Isla String Bikini Top","Active"
"8819120046301","isla-string-bikini-top","MERGE","Isla String Bikini Top","Active"
"8819120079069","isla-string-bikini-top-2","MERGE","Isla String Bikini Top","Active"
"8819120144605","isla-string-bikini-brief-2","MERGE","Isla String Bikini Bottom","Active"
"8819120210141","isla-string-bikini-brief-1","MERGE","Isla String Bikini Bottom","Active"
"8819120275677","isla-string-bikini-brief","MERGE","Isla String Bikini Bottom","Active"
"8819126894813","loose-tank-3","MERGE","Loose Tank","Active"
"8819126960349","halter-mini-dress","MERGE","Halter Mini Dress","Active"
"8819127058653","halter-mini-dress-1","MERGE","Halter Mini Dress","Active"
"8819127091421","halter-maxi-dress","MERGE","Halter Maxi Dress","Active"
"8819127124189","halter-maxi-dress-1","MERGE","Halter Maxi Dress","Active"
"8819127189725","90s-tank","MERGE","90s Tank","Active"
"8819127222493","90s-tank-1","MERGE","90s Tank","Active"
"8819127288029","high-neck-fitted-tank-5","MERGE","High Neck Fitted Tank","Active"
"8819127320797","halter-top","MERGE","Cropped Halter Top","Active"
"8819127353565","halter-top-1","MERGE","Cropped Halter Top","Active"
"8819127484637","tube-maxi-dress","MERGE","TUBE MAXI DRESS","Active"
"8819127517405","sleeveless-crewneck-sweatshirt","MERGE","SLEEVELESS CREWNECK TOP","Active"
"8819127550173","tube-maxi-dress-1","MERGE","TUBE MAXI DRESS","Active"
"8819127582941","tube-maxi-dress-2","MERGE","TUBE MAXI DRESS","Active"
"8819127714013","drawstring-short","MERGE","DRAWSTRING SHORT","Active"
"8819127746781","drawstring-short-1","MERGE","DRAWSTRING SHORT","Active"
"8819127779549","square-neck-tank","MERGE","SQUARE NECK TANK","Active"
"8819127910621","square-neck-tank-1","MERGE","SQUARE NECK TANK","Active"
"8819128008925","square-neck-maxi-dress-3","MERGE","Square Neck Maxi Dress","Active"
"8819128041693","lounge-socks","MERGE","LOUNGE SOCK","Active"
"8819128107229","square-neck-mini-dress","MERGE","Square Neck Mini Dress","Active"
"8819128172765","lounge-socks-1","MERGE","LOUNGE SOCK","Active"
"8819128205533","lounge-socks-2","MERGE","LOUNGE SOCK","Active"
"8819128271069","classis-rib-socks","MERGE","CLASSIC RIBBED SOCK","Active"
"8819128303837","classis-rib-socks-1","MERGE","CLASSIC RIBBED SOCK","Active"
"8819128336605","classis-rib-socks-2","MERGE","CLASSIC RIBBED SOCK","Active"
"8819128369373","sleeveless-crewneck-sweatshirt-1","MERGE","SLEEVELESS CREWNECK TOP","Active"
"8819128402141","sleeveless-crewneck-sweatshirt-2","MERGE","SLEEVELESS CREWNECK TOP","Active"
"8819128533213","square-neck-tank-2","MERGE","SQUARE NECK TANK","Active"
"8819128565981","sawyer","MERGE","SAWYER TOP","Active"
"8819128631517","stevie","MERGE","STEVIE CASHMERE  SWEATER","Active"
"8819128697053","sawyer-1","MERGE","SAWYER TOP","Active"
"8819128729821","stevie-1","MERGE","STEVIE CASHMERE SWEATER","Active"
"8819128762589","drawstring-short-2","MERGE","DRAWSTRING SHORT","Active"
"8819128828125","cropped-muscle-tank-1","MERGE","CROPPED MUSCLE TANK","Active"
"8819128926429","cropped-muscle-tank","MERGE","CROPPED MUSCLE TANK","Active"
"8819128959197","cropped-muscle-tank-2","MERGE","CROPPED MUSCLE TANK","Active"
"8819129024733","ls-baby-tee","MERGE","Long Sleeve Baby Tee","Active"
"8819129057501","tank-jumpsuit-1","MERGE","TANK JUMPSUIT","Active"
"8819129123037","tank-jumpsuit","MERGE","TANK JUMPSUIT","Active"
"8819129155805","tank-romper-1","MERGE","TANK ROMPER","Active"
"8819129188573","test-product-1","MERGE","test product","Active"
"8819129385181","poplin-lounge-pant","MERGE","Lounge Pant","Active"
"8819129483485","poplin-oversized-button-down","MERGE","Oversized Button Down","Active"
"8819129680093","classic-sweatpant-chocolate","MERGE","Classic Sweatpant","Active"
"8819129712861","fitted-crewneck-short-sleeve-t-shirt","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Active"
"8819129811165","fitted-crewneck-short-sleeve-t-shirt-1","MERGE","FITTED CREWNECK SHORT SLEEVE T-SHIRT","Active"
"8819117654237","long-sleeve-crewneck-dress-maxi-earth","MERGE","Long Sleeve Crewneck Maxi Dress","Active"
"8819129876701","journey","MERGE","JOURNEY TOP","Active"
"8819129909469","journey-1","MERGE","JOURNEY TOP","Active"
"8819130040541","lounge-pant","MERGE","Lounge Pant","Active"
"8819130106077","button-down","MERGE","Button Down","Active"
"8819130171613","lounge-pant-stripe","MERGE","Lounge Pant","Active"
"8819130204381","button-down-stripe","MERGE","Oversized Button Down","Active"
"8819130237149","cropped-fitted-turtleneck-top","MERGE","Cropped Fitted Turtleneck Top","Active"
"8819130302685","long-sleeve-fitted-top-navy","MERGE","Long Sleeve Fitted Top","Active"
"8819130630365","high-neck-fitted-tank-6","MERGE","High Neck Fitted Tank","Active"
"8819130728669","drawstring-pant","MERGE","Drawstring Pant","Active"
"8819130859741","drawstring-pant-1","MERGE","Drawstring Pant","Active"
"8819130925277","ls-baby-tee-1","MERGE","Long Sleeve Baby Tee","Active"
"8819130990813","short-sleeve-baby-tee-navy","MERGE","Short Sleeve Baby Tee","Active"
"8819131023581","thermal-drawstring-pant-ivory","MERGE","Drawstring Pant","Active"
"8819131121885","elton","MERGE","Elton Vest","Active"
"8819131154653","elton-1","MERGE","Elton Vest","Active"
"8819131220189","90s-brief-black","MERGE","90s Brief","Active"
