"ID","Handle","Command","Title","Status"
"8940231524583","tank-jumpsuit","MERGE","TANK JUMPSUIT","Draft"
"8940212650215","thea-90s-bikini-top","MERGE","Thea Bikini Top","Archived"
"8940212912359","thea-90s-bikini-top-2","MERGE","Thea Bikini Top Chocolate","Archived"
"8940213043431","thea-90s-bikini-bottom","MERGE","Thea Bikini Bottom","Archived"
"8940213141735","thea-90s-bikini-bottom-1","MERGE","Thea Bikini Bottom","Archived"
"8940213272807","thea-90s-bikini-bottom-2","MERGE","Thea Bikini Bottom","Archived"
"8940213371111","esme-maxi-sarong","MERGE","Esme Maxi Sarong","Archived"
"8940213403879","esme-maxi-sarong-1","MERGE","Esme Maxi Sarong","Archived"
"8940213502183","esme-maxi-sarong-2","MERGE","Esme Maxi Sarong","Archived"
"8940213567719","willow-pant","MERGE","Willow Pant","Archived"
"8940213731559","willow-pant-1","MERGE","Willow Pant","Archived"
"8940213928167","willow-pant-2","MERGE","Willow Pant","Archived"
"8940214059239","lennon-robe","MERGE","Lennon Robe","Archived"
"8940214190311","lennon-robe-1","MERGE","Lennon Robe","Archived"
"8940214288615","lennon-robe-2","MERGE","Lennon Robe","Archived"
"8940214452455","georgia-maxi-dress","MERGE","Georgia Dress Cream","Draft"
"8940214616295","sloane-dress","MERGE","Sloane Dress","Draft"
"8940214747367","romee-top","MERGE","Romee Top","Draft"
"8940214976743","chloe-top","MERGE","Chloé Top","Draft"
"8940215206119","simone-top","MERGE","Simone Top","Draft"
"8940215304423","emma-skirt","MERGE","Emma Skirt","Draft"
"8940215402727","tank-dress-mini-chocolate","MERGE","Tank Mini Dress","Draft"
"8940215599335","terry-raglan-cutoff-top","MERGE","TERRY RAGLAN CUTOFF TOP","Draft"
"8940215697639","terry-raglan-cutoff-top-1","MERGE","TERRY RAGLAN CUTOFF TOP CREAM","Draft"
"8940215861479","terry-boyfriend-short","MERGE","TERRY BOYFRIEND SHORT","Draft"
"8940215927015","terry-boyfriend-short-1","MERGE","TERRY BOYFRIEND SHORT","Draft"
"8940216058087","ines","MERGE","Ines Racerback Tank","Draft"
"8940216123623","poppy","MERGE","Poppy Cardigan Millet","Draft"
"8940216254695","cheyenne","MERGE","Cheyenn Cropped Sweater","Draft"
"8940216352999","emma-skirt-1","MERGE","Emma Skirt","Draft"
"8940216713447","ines-1","MERGE","Ines Racerback Tank","Draft"
"8940216844519","ines-2","MERGE","Ines Racerback Top","Draft"
"8940217008359","blaise","MERGE","BLAISE","Draft"
"8940217073895","blaise-1","MERGE","BLAISE","Draft"
"8940217172199","blaise-2","MERGE","BLAISE","Draft"
"8940217204967","jamie","MERGE","JAMIE","Draft"
"8940217303271","jamie-1","MERGE","JAMIE","Draft"
"8940217368807","jamie-2","MERGE","JAMIE","Draft"
"8940217434343","poppy-1","MERGE","Poppy Cardigan Black","Draft"
"8940217499879","poppy-2","MERGE","Poppy Cardigan Cream","Draft"
"8940217532647","cheyenne-1","MERGE","Cheyenn Cropped Sweater","Draft"
"8940217630951","cheyenne-2","MERGE","Cheyenne Boat Neck Sweater","Draft"
"8940217729255","emma-skirt-3","MERGE","Emma Skirt","Draft"
"8940218482919","ls-raglan-sweatshirt","MERGE","Long Sleeve Raglan Sweatshirt","Draft"
"8940218581223","ls-raglan-sweatshirt-1","MERGE","Long Sleeve Raglan Sweatshirt","Draft"
"8940218712295","ls-raglan-sweatshirt-2","MERGE","Long Sleeve Raglan Sweatshirt","Draft"
"8940219203815","square-neck-maxi-dress","MERGE","Square Neck Maxi Dress","Draft"
"8940219334887","square-neck-maxi-dress-1","MERGE","Square Neck Maxi Dress","Draft"
"8940219433191","square-neck-maxi-dress-2","MERGE","Square Neck Maxi Dress","Draft"
"8940219531495","square-neck-mini-dress-black","MERGE","Square Neck Mini Dress","Draft"
"8940219695335","square-neck-mini-dress-cream","MERGE","Square Neck Mini Dress","Draft"
"8940219859175","square-neck-mini-dress-2","MERGE","Square Neck Mini Dress","Draft"
"8940220023015","henley-onesie","MERGE","Henley Onesie","Draft"
"8940220252391","ls-raglan-sweatshirt-3","MERGE","Long Sleeve Raglan Sweatshirt","Draft"
"8940221235431","willa","MERGE","WILLA CASHMERE BRA","Draft"
"8940221399271","willa-1","MERGE","WILLA CASHMERE BRA","Draft"
"8940221497575","willa-2","MERGE","WILLA CASHMERE BRA","Draft"
"8940222054631","terry-boyfriend-short-2","MERGE","TERRY BOYFRIEND SHORT","Draft"
"8940222447847","classic-sweatpant-clay","MERGE","Classic Sweatpant","Draft"
"8940222513383","straight-leg-sweatpant-clay","MERGE","Straight Leg Sweatpant","Draft"
"8940222677223","shrunken-raglan-sweatshirt-clay","MERGE","Shrunken Raglan Sweatshirt","Draft"
"8940222841063","oversized-crewneck-sweatshirt-clay","MERGE","Oversized Crewneck Sweatshirt","Draft"
"8940223004903","terry-raglan-cutoff-top-2","MERGE","TERRY RAGLAN CUTOFF TOP","Draft"
"8940223103207","terry-boyfriend-short-3","MERGE","TERRY BOYFRIEND SHORT","Draft"
"8940223135975","ls-raglan-sweatshirt-4","MERGE","Long Sleeve Raglan Sweatshirt","Draft"
"8940223299815","oversized-polo-sweatshirt","MERGE","Oversized Polo Sweatshirt","Draft"
"8940223430887","oversized-polo-sweatshirt-1","MERGE","Oversized Polo Sweatshirt","Draft"
"8940223496423","luna","MERGE","Luna Cashmere Skirt","Draft"
"8940223594727","luna-1","MERGE","Luna Cashmere Skirt","Draft"
"8940223660263","paige","MERGE","Paige Cashmere Vest","Draft"
"8940223758567","paige-1","MERGE","Paige Cashmere Vest","Draft"
"8940224020711","long-sleeve-fitted-top-clay","MERGE","Long Sleeve Fitted Top","Draft"
